1,0.31,18,2,6.43811652033643,6.43811652033643,completed,0.09920951815605,0.09920951815605,completed
2,0.43,22,12,5.57143241317623,5.57143241317623,completed,0.121603085724239,0.121603085724239,completed
3,0.37,4,7,5.03843157397259,5.03843157397259,completed,0.117323563065758,0.117323563065758,completed
4,0.34,40,16,5.407116485726,5.407116485726,completed,0.120262180770676,0.120262180770676,completed
5,0.36,6,10,4.90485389269133,4.90485389269133,completed,0.118858207945307,0.118858207945307,completed
6,0.39,33,5,7.19521940286642,7.19521940286642,completed,0.112793928785728,0.112793928785728,completed
7,0.42,15,13,5.61725545806964,5.61725545806964,completed,0.126475853335541,0.126475853335541,completed
8,0.3,29,8,5.23161767987907,5.23161767987907,completed,0.108557304796483,0.108557304796483,completed
9,0.28,2,14,4.48994552396702,4.48994552396702,completed,0.124061140637368,0.124061140637368,completed
10,0.42,37,9,7.10659766860537,7.10659766860537,completed,0.123178637178946,0.123178637178946,completed
11,0.4,20,10,5.57255947815779,5.57255947815779,completed,0.123356650394234,0.123356650394234,completed
12,0.35,24,4,6.41356777401264,6.41356777401264,completed,0.106451494703406,0.106451494703406,completed
13,0.33,13,6,5.20343962156252,5.20343962156252,completed,0.105827436312662,0.105827436312662,completed
14,0.38,27,15,5.49143640529893,5.49143640529893,completed,0.120231515350417,0.120231515350417,completed
15,0.45,9,3,9.85276553563159,9.85276553563159,completed,0.133935268052641,0.133935268052641,completed
16,0.31,35,12,5.10304383320322,5.10304383320322,completed,0.109453367107648,0.109453367107648,completed
17,0.3,10,8,4.89663303223026,4.89663303223026,completed,0.1095796800345,0.1095796800345,completed
18,0.44,34,14,6.33460173121805,6.33460173121805,completed,0.129038926053541,0.129038926053541,completed
19,0.38,12,4,6.92398698074339,6.92398698074339,completed,0.108329515681025,0.108329515681025,completed
20,0.32,28,9,5.42059346047414,5.42059346047414,completed,0.115748767302899,0.115748767302899,completed
21,0.35,19,15,4.93197507291243,4.93197507291243,completed,0.112411866346571,0.112411866346571,completed
22,0.41,26,6,7.62179864010565,7.62179864010565,completed,0.116051984705364,0.116051984705364,completed
23,0.43,3,13,4.71190840100314,4.71190840100314,completed,0.124743683905918,0.124743683905918,completed
24,0.29,37,2,6.23238177250804,6.23238177250804,completed,0.096097185113412,0.096097185113412,completed
25,0.29,14,11,5.02915004063506,5.02915004063506,completed,0.115574283197374,0.115574283197374,completed
26,0.41,31,2,8.72256203246906,8.72256203246906,completed,0.117427360564173,0.117427360564173,completed
27,0.39,8,16,4.58636753928066,4.58636753928066,completed,0.118308911419458,0.118308911419458,completed
28,0.36,32,6,6.25829344511747,6.25829344511747,completed,0.105699745443284,0.105699745443284,completed
29,0.34,5,4,5.24436610579056,5.24436610579056,completed,0.111638404271288,0.111638404271288,completed
30,0.37,39,11,5.67583294935658,5.67583294935658,completed,0.112258941081278,0.112258941081278,completed
31,0.44,16,8,7.10332794760072,7.10332794760072,completed,0.133364107698269,0.133364107698269,completed
32,0.32,23,13,4.79443169994521,4.79443169994521,completed,0.105999646413975,0.105999646413975,completed
33,0.32,5,10,4.84410594590848,4.84410594590848,completed,0.119907850845958,0.119907850845958,completed
34,0.44,40,4,9.32639444629075,9.32639444629075,completed,0.13385002619667,0.13385002619667,completed
35,0.38,18,14,5.04939624224061,5.04939624224061,completed,0.112594928579804,0.112594928579804,completed
36,0.34,21,9,5.36808141432507,5.36808141432507,completed,0.115446894312599,0.115446894312599,completed
37,0.35,16,3,6.75825786139895,6.75825786139895,completed,0.105271112303239,0.105271112303239,completed
38,0.39,28,12,6.05796677334316,6.05796677334316,completed,0.116935794211499,0.116935794211499,completed
39,0.41,7,5,6.64803428348529,6.64803428348529,completed,0.125907811907649,0.125907811907649,completed
40,0.29,32,16,4.97382170457512,4.97382170457512,completed,0.111465229318002,0.111465229318002,completed
41,0.28,20,7,5.18523306912238,5.18523306912238,completed,0.107910676540888,0.107910676540888,completed
42,0.43,24,16,5.60909615905466,5.60909615905466,completed,0.124246709428954,0.124246709428954,completed
43,0.41,2,2,8.2469926803985,8.2469926803985,completed,0.120802261178183,0.120802261178183,completed
44,0.35,37,12,5.1638086693461,5.1638086693461,completed,0.11184263283079,0.11184263283079,completed
45,0.32,10,14,4.63067066827645,4.63067066827645,completed,0.113831258680986,0.113831258680986,completed
46,0.38,35,7,6.47740994891551,6.47740994891551,completed,0.105256064963647,0.105256064963647,completed
47,0.45,13,10,5.74132162681701,5.74132162681701,completed,0.125949527520154,0.125949527520154,completed
48,0.3,26,5,5.42986233320262,5.42986233320262,completed,0.106740603995546,0.106740603995546,completed
49,0.3,12,16,4.8667243632324,4.8667243632324,completed,0.119735293956584,0.119735293956584,completed
50,0.45,27,6,9.13449668110926,9.13449668110926,completed,0.13014113082448,0.13014113082448,completed
