1,0.31,43,1,0.9997726994152728,0.9997726994152728,completed
2,0.43,53,14,0.13823155568552906,0.13823155568552906,completed
3,0.37,8,8,0.0069640044558232275,0.0069640044558232275,completed
4,0.34,100,19,0.03404430675447692,0.03404430675447692,completed
5,0.36,13,12,0.001098787289093235,0.001098787289093235,completed
6,0.39,80,5,0.24225719583257713,0.24225719583257713,completed
7,0.42,36,16,0.0458023109579447,0.0458023109579447,completed
8,0.3,71,9,0.07914919888288716,0.07914919888288716,completed
9,0.28,1,17,0.06295905882579661,0.06295905882579661,completed
10,0.42,93,10,0.36502555849604607,0.36502555849604607,completed
11,0.4,48,12,0.060945261091123935,0.060945261091123935,completed
12,0.35,59,3,0.2082203760071524,0.2082203760071524,completed
13,0.33,30,6,0.11653118965017498,0.11653118965017498,completed
14,0.38,66,19,0.014514847533959983,0.014514847533959983,completed
15,0.45,20,3,0.5492014479563063,0.5492014479563063,completed
16,0.31,87,15,0.023562816897675195,0.023562816897675195,completed
17,0.3,23,10,0.04239522689292577,0.04239522689292577,completed
18,0.44,83,18,0.1275199788039683,0.1275199788039683,completed
19,0.38,26,4,0.19951484241582298,0.19951484241582298,completed
20,0.32,68,11,0.06512699911558478,0.06512699911558478,completed
21,0.35,46,18,0.009772081055156263,0.009772081055156263,completed
22,0.41,63,7,0.2862384628833342,0.2862384628833342,completed
23,0.43,5,15,0.027136626517384774,0.027136626517384774,completed
24,0.29,90,2,0.26741443042820845,0.26741443042820845,completed
25,0.29,33,14,0.01555903268535321,0.01555903268535321,completed
26,0.41,75,1,1,1000,divergent
27,0.39,17,20,1,1000,divergent
28,0.36,78,7,0.15932928888815587,0.15932928888815587,completed
29,0.34,10,4,0.1280861100189253,0.1280861100189253,completed
30,0.37,96,13,0.008009591899913203,0.008009591899913203,completed
31,0.44,39,9,0.16833595183106473,0.16833595183106473,completed
32,0.32,56,16,0.026176207276381955,0.026176207276381955,completed
33,0.32,9,11,0.008706204209136058,0.008706204209136058,completed
34,0.44,99,3,0.60888066196327,0.60888066196327,completed
35,0.38,44,17,0.007646688239365431,0.007646688239365431,completed
36,0.34,52,10,0.08397953633115991,0.08397953633115991,completed
37,0.35,37,3,0.2055632517845997,0.2055632517845997,completed
38,0.39,70,14,0.010242647851198326,0.010242647851198326,completed
39,0.41,15,6,0.13357911423407243,0.13357911423407243,completed
40,0.29,79,19,0.010470992032432649,0.010470992032432649,completed
41,0.28,49,7,0.134570053935898,0.134570053935898,completed
42,0.43,57,20,1,1000,divergent
43,0.41,3,1,1,1000,divergent
44,0.35,92,14,0.09032716276591606,0.09032716276591606,completed
45,0.32,22,17,0.022353574973153278,0.022353574973153278,completed
46,0.38,86,8,0.18543099636185847,0.18543099636185847,completed
47,0.45,31,12,0.013986245092900505,0.013986245092900505,completed
48,0.3,64,5,0.21142581616660738,0.21142581616660738,completed
49,0.3,27,20,1,1000,divergent
50,0.45,66,7,0.5462695090994766,0.5462695090994766,completed
