1,0.31,43,1,0.9963796408263881,0.9963796408263881,completed
2,0.43,53,14,0.1195788548844191,0.1195788548844191,completed
3,0.37,8,8,0.02587524529933686,0.02587524529933686,completed
4,0.34,100,19,0.03828305210116297,0.03828305210116297,completed
5,0.36,13,12,0.0012373795120760324,0.0012373795120760324,completed
6,0.39,80,5,0.16521471744086424,0.16521471744086424,completed
7,0.42,36,16,0.08124525791995496,0.08124525791995496,completed
8,0.3,71,9,0.0423113235938798,0.0423113235938798,completed
9,0.28,1,17,0.06747083795452695,0.06747083795452695,completed
10,0.42,93,10,0.23031480028616805,0.23031480028616805,completed
11,0.4,48,12,0.08397416815764025,0.08397416815764025,completed
12,0.35,59,3,0.13273397973596274,0.13273397973596274,completed
13,0.33,30,6,0.057016164530614664,0.057016164530614664,completed
14,0.38,66,19,0.04438891949060493,0.04438891949060493,completed
15,0.45,20,3,0.37478589762192976,0.37478589762192976,completed
16,0.31,87,15,0.020947993605219303,0.020947993605219303,completed
17,0.3,23,10,0.010492477860330328,0.010492477860330328,completed
18,0.44,83,18,0.12874339546771585,0.12874339546771585,completed
19,0.38,26,4,0.1447376559752326,0.1447376559752326,completed
20,0.32,68,11,0.03893484694505689,0.03893484694505689,completed
21,0.35,46,18,0.024980730832196214,0.024980730832196214,completed
22,0.41,63,7,0.2167905232943744,0.2167905232943744,completed
23,0.43,5,15,0.039597239899975205,0.039597239899975205,completed
24,0.29,90,2,0.09646171251683038,0.09646171251683038,completed
25,0.29,33,14,0.004267280439951574,0.004267280439951574,completed
26,0.41,75,1,1,1000,divergent
27,0.39,17,20,1,1000,divergent
28,0.36,78,7,0.10715657570612595,0.10715657570612595,completed
29,0.34,10,4,0.06697859032873624,0.06697859032873624,completed
30,0.37,96,13,0.042112805768121965,0.042112805768121965,completed
31,0.44,39,9,0.15666279764027818,0.15666279764027818,completed
32,0.32,56,16,0.015748172174540356,0.015748172174540356,completed
33,0.32,9,11,0.007909339716313116,0.007909339716313116,completed
34,0.44,99,3,0.4706265492935827,0.4706265492935827,completed
35,0.38,44,17,0.038884845689276464,0.038884845689276464,completed
36,0.34,52,10,0.04364935908327502,0.04364935908327502,completed
37,0.35,37,3,0.1282603652430274,0.1282603652430274,completed
38,0.39,70,14,0.062313473172666625,0.062313473172666625,completed
39,0.41,15,6,0.11354000139127392,0.11354000139127392,completed
40,0.29,79,19,0.014434849920743807,0.014434849920743807,completed
41,0.28,49,7,0.05300458622024757,0.05300458622024757,completed
42,0.43,57,20,1,1000,divergent
43,0.41,3,1,1,1000,divergent
44,0.35,92,14,0.05402192619652867,0.05402192619652867,completed
45,0.32,22,17,0.030471677257957457,0.030471677257957457,completed
46,0.38,86,8,0.12625565919588833,0.12625565919588833,completed
47,0.45,31,12,0.1031073873456211,0.1031073873456211,completed
48,0.3,64,5,0.07312829243570448,0.07312829243570448,completed
49,0.3,27,20,1,1000,divergent
50,0.45,66,7,0.354622133028073,0.354622133028073,completed
